,CharacterName,Sentiment
0,3-D Man,5.694319488817881
1,Abigail Brand,5.496649635036509
2,Abner Jenkins,5.528283922462931
3,Abomination (character),5.594976604278049
4,Abraham Cornelius,5.460057803468219
5,Abraham Whistler,5.480725504861648
6,Absorbing Man,5.617259287338877
7,Achebe (comics),5.465999999999999
8,Adam Warlock,5.671161484453332
9,Adrienne Frost,5.668644470868024
10,Agatha Harkness,5.7813629842180845
11,Agent (comics),5.482091121495328
12,Agent X (Marvel Comics),5.565859676175805
13,Air-Walker,5.833286852589648
14,Al MacKenzie,5.510986717267571
15,Aldrich Killian,5.712071563088516
16,Aleksander Lukin,5.701126373626371
17,Aleta Ogord,
18,Alex Power,5.666363636363637
19,Alex Wilder,5.699622093023259
20,Alexander Bont,5.63357656731758
21,Alexander Goodwin Pierce,5.765
22,Alfie O_Meggan,5.673
23,Alicia Masters,5.828449111470121
24,Alistair Smythe,5.437819732034096
25,Alyssa Moy,5.759386503067489
26,Amadeus Cho,5.493638137719497
27,Amanda Sefton,5.617296181630554
28,Amatsu-Mikaboshi (comics),5.3933333333333335
29,Amelia Voght,5.635916824196604
30,American Dream (comics),5.9238756388416
31,American Eagle (Marvel Comics),5.622084848484841
32,Anaconda (comics),5.465999999999999
33,Ancient One,5.609117647058831
34,Andrew Chord,5.649295081967217
35,Andromeda (Marvel Comics),5.775491651205939
36,Andy Lorimer,5.655000000000001
37,Angel (Thomas Halloway),5.777959770114946
38,Angel Dust (comics),6.359999999999999
39,Angel Salvadore,5.74358301158303
40,Angela (comics),5.465999999999999
41,Ani-Mator,5.186
42,Ani-Men,5.690269865067495
43,Anna Maria Marconi,5.614342948717927
44,Anna Watson (comics),5.721780821917814
45,Anne Marie Hoag,5.443333333333333
46,Anne Weying,5.556637500000006
47,Annex (comics),6.005000000000001
48,Annihilus,5.569521100047409
49,Anole (comics),5.465999999999999
50,Ant-Man,5.743571428571425
51,Anthem (comics),5.642857142857143
52,Anti-Venom (symbiote),4.837142857142857
53,Anya Corazon,5.563006843455943
54,Apache Kid (comics),5.802925430210326
55,Apocalypse (comics),5.465999999999999
56,Apollo (Marvel Comics),6.113333333333333
57,Aqueduct (comics),5.485000000000001
58,Arabian Knight (comics),5.8999999999999995
59,Aragorn (comics),5.755238095238104
60,Arcade (Marvel Comics),5.538223552894208
61,Archie Corrigan,5.636896551724142
62,Arclight (comics),5.569326923076915
63,Ares (Marvel Comics),5.421627027027021
64,Aries (comics),5.465999999999999
65,Arkon,5.549471830985913
66,Armadillo (comics),5.610688816855766
67,Armor (comics),5.701666666666667
68,Arnim Zola,5.59999464381361
69,Arno Stark,5.623088235294126
70,Arsenal (Marvel Comics),5.5156250000000036
71,Asbestos Man,5.700403587443952
72,Asp (comics),5.465999999999999
73,Atalanta (Pantheon),5.725555555555556
74,Athena (Marvel Comics),5.61135004042038
75,Attuma,5.645195143104953
76,Aurora (comics),5.584394313967857
77,Avalanche (comics),5.465999999999999
